db,sseqid,name,marker_class,selection_agent,domain,host_range,reference
snapgene,MET17,MET17,auxotrophic,methionine dropout,eukaryotic,narrow (S. cerevisiae),
snapgene,ADE2,ADE2,auxotrophic,adenine dropout,eukaryotic,narrow (S. cerevisiae),
snapgene,ARG4,ARG4,auxotrophic,arginine dropout,eukaryotic,narrow (S. cerevisiae),
snapgene,PpHIS4,PpHIS4,auxotrophic,histidine dropout,eukaryotic,narrow (Pichia pastoris),
snapgene,amdS,amdS,metabolic,acetamide as sole nitrogen source,eukaryotic,broad (fungi),
snapgene,SacB,SacB,counter-selection,sucrose,bacterial,broad (Gram-negative bacteria),PMID 2997137
snapgene,ccdB,ccdB,counter-selection,gyrase poison; propagated only in a ccdA+ or gyrA462 host,bacterial,narrow (E. coli),
swissprot,P62554;P62555;Q46996;Q52042;Q52043,ccdB,counter-selection,gyrase poison; propagated only in a ccdA+ or gyrA462 host,bacterial,narrow (E. coli),
snapgene,codA,codA,counter-selection,5-fluorocytosine,both,broad (bacteria and mammalian),PMID 1729703
swissprot,P25524,codA,counter-selection,5-fluorocytosine,both,broad (bacteria and mammalian),PMID 1729703
snapgene,HSV_TK,HSV TK,counter-selection,"ganciclovir, acyclovir",eukaryotic,narrow (mammalian),PMID 3194019
snapgene,Delta_TK,ΔTK,counter-selection,"ganciclovir, acyclovir",eukaryotic,narrow (mammalian),
snapgene,barnase,barnase,counter-selection,ribonuclease toxin; lethal in standard cloning strains,bacterial,narrow (E. coli),
snapgene,lacZ;lacZ_(2),lacZ,screening,X-gal (blue/white),bacterial,narrow (E. coli),
snapgene,lacZ_alpha,lacZα,screening,X-gal (blue/white alpha-complementation),bacterial,narrow (E. coli),PMID 6295879
snapgene,GUS;GUS_(2),GUS,screening,X-Gluc,eukaryotic,broad (plants),PMID 3327686
snapgene,vermilion,vermilion,screening,eye colour,eukaryotic,narrow (Drosophila),PMID 1923781
swissprot,A0A5R8T042;A0A649V088;E1ANH6;O07293;O08337;O33807;O65975;O65976;O69395;O84955;P0A1V8;P0A1V9;P0A3M1;P0A3M2;P0A3M3;P0A3M4;P0A9Z7;P0A9Z8;P0A9Z9;P0AA00;P0AD63;P0AD64;P10509;P22391;P23954;P28585;P30896;P35695;P37323;P62593;P62594;P74841;P96348;Q00982;Q06316;Q06650;Q06778;Q45726;Q47066;Q51429;Q51574;Q59514;Q5YXD6;Q848S4;Q848S6;Q8KSA6;Q93LM8;Q9AHN9;Q9EZQ7;Q9R976;Q9RMT4;Q9S169;Q9S424,bla,antibiotic resistance,"ampicillin, carbenicillin",bacterial,broad (Gram-negative bacteria),PMID 358200
swissprot,P02980;P02981;P02982;P33733;P51563;P51564;Q07282,tetA,antibiotic resistance,tetracycline,bacterial,broad (bacteria),PMID 7826010
swissprot,P08881;P0AG05;P0AG06;Q8ZPX9,aadA,antibiotic resistance,"spectinomycin, streptomycin",bacterial,broad (bacteria),PMID 2993813
swissprot,P23181,aacC1,antibiotic resistance,gentamicin,bacterial,broad (bacteria),PMID 2549372
swissprot,P00552,neo,antibiotic resistance,"neomycin, kanamycin, G418",both,"broad (bacteria, mammalian, plant)",PMID 6295884
swissprot,P00555,aph,antibiotic resistance,"kanamycin, neomycin",bacterial,broad (bacteria),PMID 6270337
swissprot,P00557,hph,antibiotic resistance,hygromycin B,both,broad (bacteria and mammalian),PMID 6319235
swissprot,P13081;P17493;Q6GKR3;Q7A8D1;Q7DJ53;Q99XE5,ble,antibiotic resistance,"bleomycin, phleomycin, Zeocin",both,broad (bacteria and mammalian),PMID 1695734
swissprot,P0C002,sul1,antibiotic resistance,sulfonamides,bacterial,broad (bacteria),
swissprot,P00485;P00486;P06135;P23364;P50869;P26841;P36882;P62578;P62579;P62577;P58777;P07641;P62580;P25309;P20074;Q03058;P49417,cat,antibiotic resistance,chloramphenicol,bacterial,broad (bacteria),PMID 6340955
swissprot,P94468;P21130;P05655;F8DT26;P0DJA3,sacB,counter-selection,sucrose,bacterial,broad (Gram-negative bacteria),PMID 2997137
swissprot,P21594,ura3,auxotrophic,uracil dropout; counter-selectable with 5-FOA,eukaryotic,narrow (yeast),PMID 6394957
