parent_db,parent_sseqid,parent_name,parent_type,parent_length,nested_db,nested_sseqid,nested_name,nested_type,nested_strand,nested_start,nested_end,nested_length,nested_subject_length,nested_subject_start,nested_subject_end,percent_identity,percent_match,evalue,fragment
snapgene,3'_CeU6,3' CeU6,misc_feature,237,snapgene,bGH_poly(A)_signal_(3),bGH poly(A) signal,polyA_signal,-1,145,159,14,112,98,85,100.0,12.5,0.65,True
snapgene,3'_LTR,3' LTR,LTR,634,swissprot,P04601,nef,CDS,1,2,329,327,618,292,618,99.1,52.9126213592233,1.09e-96,True
snapgene,3'_LTR,3' LTR,LTR,634,Rfam,RF00250,mir-TAR,ncRNA,1,453,514,61,61,1,61,100.0,100.0,8.4e-22,False
snapgene,3'_LTR,3' LTR,LTR,634,Rfam,RF00375,HIV PBS,ncRNA,1,578,634,56,99,1,56,100.0,56.56565656565656,4.2e-12,True
snapgene,3'_LTR_(Delta_U3)_(3),3' LTR (ΔU3),LTR,234,Rfam,RF00250,mir-TAR,ncRNA,1,53,114,61,61,1,61,100.0,100.0,3.1e-22,False
snapgene,3'_LTR_(Delta_U3)_(3),3' LTR (ΔU3),LTR,234,Rfam,RF00375,HIV PBS,ncRNA,1,178,234,56,99,1,56,100.0,56.56565656565656,1.5e-12,True
snapgene,35SPPDK_promoter,35SPPDK promoter,promoter,510,swissprot,P16666,ORF VI,CDS,1,1,235,234,1566,1321,1557,82.5,14.94252873563218,4.78e-44,True
snapgene,5'_LTR,5' LTR,LTR,634,swissprot,P04324,nef,CDS,1,2,329,327,618,292,618,98.2,52.9126213592233,1.0499999999999999e-95,True
snapgene,5'_LTR,5' LTR,LTR,634,Rfam,RF00250,mir-TAR,ncRNA,1,453,514,61,61,1,61,100.0,100.0,8.4e-22,False
snapgene,5'_LTR,5' LTR,LTR,634,Rfam,RF00375,HIV PBS,ncRNA,1,578,634,56,99,1,56,100.0,56.56565656565656,4.2e-12,True
snapgene,5'_LTR_(2),5' LTR,LTR,589,snapgene,SFFV_promoter_(2),SFFV promoter,promoter,1,169,184,15,402,178,192,100.0,3.731343283582092,0.42,True
snapgene,5'_LTR_(truncated)_(2),5' LTR (truncated),LTR,181,Rfam,RF00250,mir-TAR,ncRNA,1,0,61,61,61,1,61,100.0,100.0,2.4e-22,False
snapgene,5'_LTR_(truncated)_(2),5' LTR (truncated),LTR,181,Rfam,RF00375,HIV PBS,ncRNA,1,125,181,56,99,1,56,100.0,56.56565656565656,1.2e-12,True
snapgene,5'_LTR_(truncated)_(4),5' LTR (truncated),LTR,258,Rfam,RF00250,mir-TAR,ncRNA,1,77,138,61,61,1,61,100.0,100.0,3.4000000000000003e-22,False
snapgene,5'_LTR_(truncated)_(4),5' LTR (truncated),LTR,258,Rfam,RF00375,HIV PBS,ncRNA,1,202,258,56,99,1,56,100.0,56.56565656565656,1.7e-12,True
snapgene,5'_miR_155,5' miR-155,ncRNA,27,snapgene,HIV_1_Psi,HIV-1 Ψ,misc_feature,1,5,17,12,126,20,31,100.0,9.523809523809518,0.68,True
snapgene,ADH1_promoter,ADH1 promoter,promoter,397,snapgene,PGK1_terminator,PGK1 terminator,terminator,1,14,36,22,271,30,51,95.455,8.118081180811814,0.005,True
snapgene,ADH1_promoter,ADH1 promoter,promoter,397,snapgene,AOX1_terminator,AOX1 terminator,terminator,-1,59,74,15,247,100,86,100.0,6.072874493927131,0.28,True
snapgene,ADH1_promoter_(2),ADH1 promoter,promoter,705,snapgene,PGK1_terminator,PGK1 terminator,terminator,1,322,344,22,271,30,51,95.455,8.118081180811814,0.008,True
snapgene,ADH1_promoter_(3),ADH1 promoter,promoter,397,snapgene,PGK1_terminator,PGK1 terminator,terminator,1,14,36,22,271,30,51,95.455,8.118081180811814,0.005,True
snapgene,ADH1_promoter_(4),ADH1 promoter,promoter,402,snapgene,PGK1_terminator,PGK1 terminator,terminator,1,19,41,22,271,30,51,95.455,8.118081180811814,0.005,True
snapgene,ADH1_promoter_(4),ADH1 promoter,promoter,402,snapgene,AOX1_terminator,AOX1 terminator,terminator,-1,64,79,15,247,100,86,100.0,6.072874493927131,0.28,True
snapgene,ADH1_terminator,ADH1 terminator,terminator,188,snapgene,ori2,ori2,rep_origin,-1,41,55,14,220,53,40,100.0,6.36363636363636,0.5,True
snapgene,ADH1_terminator,ADH1 terminator,terminator,188,swissprot,Q3E835,MHF1,CDS,-1,105,186,81,270,190,270,100.0,30.0,2.51e-16,True
snapgene,ADH1_terminator_(2),ADH1 terminator,terminator,166,snapgene,ori2,ori2,rep_origin,-1,41,55,14,220,53,40,100.0,6.36363636363636,0.44,True
snapgene,ADH1_terminator_(2),ADH1 terminator,terminator,166,swissprot,Q3E835,MHF1,CDS,-1,105,165,60,270,211,270,100.0,22.22222222222223,5.94e-10,True
snapgene,AOX1_terminator,AOX1 terminator,terminator,247,snapgene,CEN4,CEN4,misc_feature,-1,52,66,14,293,266,253,100.0,4.778156996587029,0.68,True
snapgene,AOX1_terminator,AOX1 terminator,terminator,247,snapgene,ADH1_promoter,ADH1 promoter,promoter,-1,85,100,15,397,74,60,100.0,3.7783375314861445,0.17,True
snapgene,ARS1,ARS1,rep_origin,454,snapgene,TRP1,TRP1,CDS,1,0,162,162,675,514,675,100.0,24.0,6.1199999999999996e-89,True
snapgene,ARS1_(2),ARS1,rep_origin,838,snapgene,TRP1,TRP1,CDS,1,0,162,162,675,514,675,100.0,24.0,1.14e-88,True
snapgene,ATF6,ATF6,CDS,2013,snapgene,MAS_terminator,MAS terminator,terminator,-1,529,545,16,253,105,90,100.0,6.324110671936765,0.37,True
snapgene,Act1_promoter,Act1 promoter,promoter,833,snapgene,CYC1_terminator,CYC1 terminator,terminator,-1,664,680,16,190,120,105,100.0,8.421052631578945,0.15,True
snapgene,Ad_SA,Ad SA,misc_feature,104,swissprot,P05669,Y190_ADE07,CDS,-1,2,104,102,519,391,492,55.9,19.653179190751445,5.45e-06,True
snapgene,AmpR_promoter_(5),AmpR promoter,promoter,92,snapgene,polyhedrin_5'_UTR,polyhedrin 5' UTR,5'UTR,-1,4,17,13,46,39,27,100.0,28.26086956521739,0.91,True
snapgene,AsCpf1,AsCpf1,CDS,3921,snapgene,UbC_promoter_(2),UbC promoter,promoter,-1,2172,2188,16,400,266,251,100.0,4.0,0.72,True
snapgene,AtU6_1_promoter,AtU6-1 promoter,promoter,304,swissprot,Q9LUC2,PCMP-E31,CDS,-1,2,62,60,1959,1,60,100.0,3.062787136294034,1.3e-07,True
snapgene,Azami_Green,Azami-Green,CDS,681,snapgene,HA_L_(3),HA-L,misc_feature,-1,78,95,17,502,141,125,100.0,3.3864541832669346,0.031,True
snapgene,BYDV_3'_TE,BYDV 3' TE,misc_feature,107,Rfam,RF00434,BTE,ncRNA,1,10,107,97,99,1,96,99.0,97.97979797979798,1.1e-26,False
snapgene,Bcl_2_SA,Bcl-2 SA,misc_feature,436,swissprot,P10417,Bcl2,CDS,1,236,368,132,708,577,708,100.0,18.644067796610173,2.02e-28,True
snapgene,CEN___ARS,CEN/ARS,misc_feature,1163,snapgene,TRP1,TRP1,CDS,1,0,162,162,675,514,675,100.0,24.0,1.6e-88,True
snapgene,CEN___ARS,CEN/ARS,misc_feature,1163,snapgene,ARS1_(2),ARS1,rep_origin,1,0,838,838,838,1,838,100.0,100.0,0.0,False
snapgene,CEN___ARS,CEN/ARS,misc_feature,1163,snapgene,tet_promoter,tet promoter,promoter,1,853,871,18,29,1,18,100.0,62.06896551724138,0.014,True
snapgene,CEN___ARS,CEN/ARS,misc_feature,1163,snapgene,PHO1_signal_sequence,PHO1 signal sequence,sig_peptide,-1,1025,1040,15,66,28,14,100.0,22.72727272727272,0.84,True
snapgene,CEN___ARS,CEN/ARS,misc_feature,1163,snapgene,TEF1_promoter_(3),TEF1 promoter,promoter,1,1042,1057,15,387,212,226,100.0,3.875968992248062,0.84,True
snapgene,CEN___ARS_(3),CEN/ARS,misc_feature,1850,snapgene,TRP1,TRP1,CDS,1,0,162,162,675,514,675,100.0,24.0,2.55e-88,True
snapgene,CEN___ARS_(3),CEN/ARS,misc_feature,1850,snapgene,ARS1,ARS1,rep_origin,1,0,454,454,454,1,454,100.0,100.0,0.0,False
snapgene,CEN___ARS_(3),CEN/ARS,misc_feature,1850,swissprot,P32356,NTH1,CDS,1,746,1373,627,2253,1627,2253,97.6,27.82956058588549,4.31e-170,True
snapgene,CEN___ARS_(3),CEN/ARS,misc_feature,1850,snapgene,LEU2_promoter,LEU2 promoter,promoter,1,1383,1400,17,408,372,388,100.0,4.166666666666671,0.086,True
snapgene,CEN4,CEN4,misc_feature,293,snapgene,PHO1_signal_sequence,PHO1 signal sequence,sig_peptide,-1,155,170,15,66,28,14,100.0,22.72727272727272,0.2,True
snapgene,CEN4,CEN4,misc_feature,293,snapgene,TEF1_promoter_(3),TEF1 promoter,promoter,1,172,187,15,387,212,226,100.0,3.875968992248062,0.2,True
snapgene,CEN4,CEN4,misc_feature,293,snapgene,AOX1_terminator,AOX1 terminator,terminator,-1,252,266,14,247,66,53,100.0,5.668016194331983,0.81,True
snapgene,CMV_IE94_promoter,CMV IE94 promoter,promoter,985,snapgene,CMV_enhancer,CMV enhancer,enhancer,-1,503,520,17,286,107,91,100.0,5.944055944055947,0.046,True
snapgene,CMV_IE94_promoter,CMV IE94 promoter,promoter,985,snapgene,CMV_enhancer,CMV enhancer,enhancer,-1,585,600,15,286,107,93,100.0,5.24475524475524,0.71,True
snapgene,CMV_IE94_promoter,CMV IE94 promoter,promoter,985,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,599,623,24,286,12,35,100.0,8.391608391608386,3.03e-06,True
snapgene,CMV_IE94_promoter,CMV IE94 promoter,promoter,985,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,627,645,18,286,54,71,100.0,6.293706293706293,0.012,True
snapgene,CMV_IE94_promoter,CMV IE94 promoter,promoter,985,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,654,671,17,286,91,107,100.0,5.944055944055947,0.046,True
snapgene,CMV_IE94_promoter,CMV IE94 promoter,promoter,985,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,701,737,36,286,167,202,100.0,12.587412587412587,2.09e-13,True
snapgene,CMV_IE94_promoter,CMV IE94 promoter,promoter,985,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,737,752,15,286,245,259,100.0,5.24475524475524,0.71,True
snapgene,CMV_IE94_promoter,CMV IE94 promoter,promoter,985,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,824,853,29,286,176,204,96.552,10.139860139860133,7.66e-07,True
snapgene,CMV_IE94_promoter,CMV IE94 promoter,promoter,985,snapgene,CMV_enhancer,CMV enhancer,enhancer,-1,872,889,17,286,107,91,100.0,5.944055944055947,0.046,True
snapgene,CMV_IE94_promoter_(2),CMV IE94 promoter,promoter,978,snapgene,CMV_enhancer,CMV enhancer,enhancer,-1,496,513,17,286,107,91,100.0,5.944055944055947,0.045,True
snapgene,CMV_IE94_promoter_(2),CMV IE94 promoter,promoter,978,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,578,593,15,286,55,69,100.0,5.24475524475524,0.71,True
snapgene,CMV_IE94_promoter_(2),CMV IE94 promoter,promoter,978,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,592,616,24,286,12,35,100.0,8.391608391608386,3e-06,True
snapgene,CMV_IE94_promoter_(2),CMV IE94 promoter,promoter,978,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,620,638,18,286,54,71,100.0,6.293706293706293,0.011,True
snapgene,CMV_IE94_promoter_(2),CMV IE94 promoter,promoter,978,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,647,664,17,286,91,107,100.0,5.944055944055947,0.045,True
snapgene,CMV_IE94_promoter_(2),CMV IE94 promoter,promoter,978,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,694,730,36,286,167,202,100.0,12.587412587412587,2.07e-13,True
snapgene,CMV_IE94_promoter_(2),CMV IE94 promoter,promoter,978,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,730,745,15,286,245,259,100.0,5.24475524475524,0.71,True
snapgene,CMV_IE94_promoter_(2),CMV IE94 promoter,promoter,978,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,817,846,29,286,176,204,96.552,10.139860139860133,7.6e-07,True
snapgene,CMV_IE94_promoter_(2),CMV IE94 promoter,promoter,978,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,866,883,17,286,91,107,100.0,5.944055944055947,0.045,True
snapgene,CMV_enhancer,CMV enhancer,enhancer,286,snapgene,CMV_promoter,CMV promoter,promoter,1,54,69,15,200,72,86,100.0,7.5,0.2,True
snapgene,CMV_enhancer,CMV enhancer,enhancer,286,snapgene,CMV_promoter,CMV promoter,promoter,-1,90,107,17,200,88,72,100.0,8.5,0.013,True
snapgene,CMV_enhancer,CMV enhancer,enhancer,286,snapgene,CMV_promoter_(2),CMV promoter,promoter,1,133,148,15,204,12,26,100.0,7.352941176470594,0.2,True
snapgene,CMV_enhancer,CMV enhancer,enhancer,286,snapgene,CMV_IE94_promoter_(2),CMV IE94 promoter,promoter,1,166,202,36,978,695,730,100.0,3.680981595092021,5.87e-14,True
snapgene,CMV_enhancer_(2),CMV enhancer,enhancer,304,snapgene,CMV_promoter,CMV promoter,promoter,-1,54,69,15,200,89,75,100.0,7.5,0.21,True
snapgene,CMV_enhancer_(2),CMV enhancer,enhancer,304,snapgene,CMV_promoter,CMV promoter,promoter,-1,108,125,17,200,88,72,100.0,8.5,0.014,True
snapgene,CMV_enhancer_(2),CMV enhancer,enhancer,304,snapgene,CMV_promoter_(2),CMV promoter,promoter,1,151,166,15,204,12,26,100.0,7.352941176470594,0.21,True
snapgene,CMV_enhancer_(2),CMV enhancer,enhancer,304,snapgene,CMV_IE94_promoter_(2),CMV IE94 promoter,promoter,1,184,220,36,978,695,730,100.0,3.680981595092021,6.25e-14,True
snapgene,CMV_enhancer_(3),CMV enhancer,enhancer,380,snapgene,CMV_promoter,CMV promoter,promoter,1,130,145,15,200,72,86,100.0,7.5,0.27,True
snapgene,CMV_enhancer_(3),CMV enhancer,enhancer,380,snapgene,CMV_promoter,CMV promoter,promoter,-1,184,201,17,200,88,72,100.0,8.5,0.017,True
snapgene,CMV_enhancer_(3),CMV enhancer,enhancer,380,snapgene,CMV_promoter_(2),CMV promoter,promoter,1,227,242,15,204,12,26,100.0,7.352941176470594,0.27,True
snapgene,CMV_enhancer_(3),CMV enhancer,enhancer,380,snapgene,CMV_IE94_promoter_(2),CMV IE94 promoter,promoter,1,260,296,36,978,695,730,100.0,3.680981595092021,7.89e-14,True
snapgene,CMV_enhancer_(4),CMV enhancer,enhancer,378,snapgene,CMV_promoter,CMV promoter,promoter,1,130,145,15,200,72,86,100.0,7.5,0.27,True
snapgene,CMV_enhancer_(4),CMV enhancer,enhancer,378,snapgene,CMV_promoter,CMV promoter,promoter,-1,184,201,17,200,88,72,100.0,8.5,0.017,True
snapgene,CMV_enhancer_(4),CMV enhancer,enhancer,378,snapgene,CMV_promoter_(2),CMV promoter,promoter,1,227,242,15,204,12,26,100.0,7.352941176470594,0.27,True
snapgene,CMV_enhancer_(4),CMV enhancer,enhancer,378,snapgene,CMV_IE94_promoter_(2),CMV IE94 promoter,promoter,1,260,296,36,978,695,730,100.0,3.680981595092021,7.85e-14,True
snapgene,CMV_intron,CMV intron,intron,271,swissprot,P16836,UL126,CDS,1,0,102,102,402,301,402,100.0,25.373134328358205,2.33e-22,True
snapgene,CMV_intron,CMV intron,intron,271,swissprot,F5HHS3,UL124,CDS,-1,139,256,117,450,1,132,79.5,26.0,1.57e-18,True
snapgene,CMV_intron_(3),CMV intron,intron,110,snapgene,T7_promoter,T7 promoter,promoter,1,55,74,19,19,1,19,100.0,100.0,0.000292,False
snapgene,CMV_intron_(4),CMV intron,intron,270,swissprot,P16836,UL126,CDS,1,32,101,69,402,334,402,87.0,17.16417910447761,3.09e-09,True
snapgene,CMV_intron_(4),CMV intron,intron,270,swissprot,F5HHS3,UL124,CDS,-1,138,255,117,450,1,132,79.5,26.0,1.57e-18,True
snapgene,CMV_intron_A,CMV intron A,intron,827,swissprot,P16836,UL126,CDS,1,32,101,69,402,334,402,87.0,17.16417910447761,5.25e-08,True
snapgene,CMV_intron_A,CMV intron A,intron,827,swissprot,P16835,UL125,CDS,1,189,390,201,306,1,201,91.0,65.68627450980392,5.98e-45,True
snapgene,CMV_intron_A,CMV intron A,intron,827,swissprot,F5HHS3,UL124,CDS,-1,392,812,420,450,1,414,95.0,93.33333333333333,2.65e-108,True
snapgene,CMV_promoter,CMV promoter,promoter,200,swissprot,P16836,UL126,CDS,1,38,200,162,402,1,162,98.1,40.298507462686565,1.12e-44,True
snapgene,CMV_promoter,CMV promoter,promoter,200,snapgene,CMV_enhancer,CMV enhancer,enhancer,-1,71,88,17,286,107,91,100.0,5.944055944055947,0.009,True
snapgene,CMV_promoter_(2),CMV promoter,promoter,204,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,11,26,15,286,134,148,100.0,5.24475524475524,0.14,True
snapgene,CMV_promoter_(2),CMV promoter,promoter,204,swissprot,P16836,UL126,CDS,1,39,204,165,402,1,165,100.0,41.04477611940299,1.3899999999999999e-46,True
snapgene,CMV_promoter_(2),CMV promoter,promoter,204,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,73,90,17,286,91,107,100.0,5.944055944055947,0.009,True
snapgene,CMV_promoter_(3),CMV promoter,promoter,212,swissprot,P16836,UL126,CDS,1,39,141,102,402,1,102,100.0,25.373134328358205,1.73e-25,True
snapgene,CMV_promoter_(3),CMV promoter,promoter,212,snapgene,CMV_enhancer,CMV enhancer,enhancer,1,73,90,17,286,91,107,100.0,5.944055944055947,0.009,True
snapgene,CMV_promoter_(3),CMV promoter,promoter,212,swissprot,P16836,UL126,CDS,1,152,212,60,402,106,165,100.0,14.925373134328353,3.41e-09,True
snapgene,CMVd1_promoter,CMVd1 promoter,promoter,100,swissprot,P16836,UL126,CDS,1,1,100,99,402,67,165,97.0,24.626865671641795,3.47e-23,True
snapgene,CMVd2_promoter,CMVd2 promoter,promoter,52,swissprot,P16836,UL126,CDS,1,1,52,51,402,115,165,100.0,12.68656716417911,3.83e-08,True
snapgene,CYC1_terminator_(2),CYC1 terminator,terminator,248,swissprot,P21373,UTR1,CDS,-1,195,246,51,1590,1540,1590,100.0,3.2075471698113205,1.55e-05,True
snapgene,CaMV_35S_promoter,CaMV 35S promoter,promoter,346,swissprot,P16666,ORF VI,CDS,1,1,235,234,1566,1321,1557,77.5,14.94252873563218,5.0999999999999994e-42,True
snapgene,CaMV_35S_promoter_(2),CaMV 35S promoter,promoter,346,swissprot,P16666,ORF VI,CDS,1,1,235,234,1566,1321,1557,77.5,14.94252873563218,3.4600000000000003e-43,True
snapgene,CaMV_35S_promoter_(enhanced),CaMV 35S promoter (enhanced),promoter,678,swissprot,P16666,ORF VI,CDS,1,1,235,234,1566,1321,1557,82.5,14.94252873563218,8.320000000000001e-43,True
snapgene,CaMV_35S_promoter_(enhanced),CaMV 35S promoter (enhanced),promoter,678,swissprot,P16666,ORF VI,CDS,1,253,562,309,1566,1246,1557,83.8,19.731800766283527,2.11e-62,True
snapgene,CeU6_promoter,CeU6 promoter,promoter,500,swissprot,Q10126,F52C9.6,CDS,1,0,387,387,837,91,477,93.8,46.236559139784944,9.67e-101,True
snapgene,CeU6_promoter,CeU6 promoter,promoter,500,snapgene,supF,supF,tRNA,1,111,126,15,180,145,159,100.0,8.333333333333329,0.36,True
snapgene,CloDF13_ori,CloDF13 ori,rep_origin,739,Rfam,RF00106,RNAI,ncRNA,-1,56,159,103,102,1,102,98.0,99.01960784313727,1.2e-15,False
snapgene,ColA_ori,ColA ori,rep_origin,636,Rfam,RF00106,RNAI,ncRNA,-1,69,171,102,102,1,102,97.0,100.0,5.9e-15,False
snapgene,CymR,CymR,CDS,612,snapgene,OsU3_promoter,OsU3 promoter,promoter,1,272,287,15,381,141,155,100.0,3.937007874015748,0.44,True
snapgene,DR,DR,repeat_region,36,snapgene,tracrRNA,tracrRNA,misc_RNA,-1,8,28,20,79,23,4,100.0,25.316455696202524,1.83e-05,True
snapgene,E4ORF6,E4orf6,CDS,900,swissprot,P03239,E434_ADE02,CDS,1,21,879,858,882,28,873,64.1,97.27891156462584,1.44e-162,False
snapgene,E9_terminator,E9 terminator,terminator,642,swissprot,P07689,RBCS.3A,CDS,1,1,82,81,540,460,540,100.0,15.0,2.12e-13,True
snapgene,EF_1_alpha_core_promoter,EF-1α core promoter,promoter,212,snapgene,EF_1_alpha_intron_A_(2),EF-1α intron A,intron,1,34,49,15,204,29,43,100.0,7.352941176470594,0.15,True
snapgene,EF_1_alpha_poly(A)_signal,EF-1α poly(A) signal,polyA_signal,573,snapgene,M13_gene_XI,M13 gene XI,CDS,-1,220,235,15,327,293,279,100.0,4.587155963302749,0.41,True
snapgene,EF_1_alpha_promoter,EF-1α promoter,promoter,1163,snapgene,EF_1_alpha_intron_A_(2),EF-1α intron A,intron,1,53,68,15,204,29,43,100.0,7.352941176470594,0.84,True
snapgene,EF_1_alpha_promoter,EF-1α promoter,promoter,1163,snapgene,EF_1_alpha_intron_A_(3),EF-1α intron A,intron,1,231,1154,923,923,1,923,100.0,100.0,0.0,False
snapgene,EF_1_alpha_promoter_(2),EF-1α promoter,promoter,1190,snapgene,EF_1_alpha_intron_A_(2),EF-1α intron A,intron,1,52,67,15,204,29,43,100.0,7.352941176470594,0.86,True
snapgene,EF_1_alpha_promoter_(2),EF-1α promoter,promoter,1190,snapgene,EF_1_alpha_intron_A_(4),EF-1α intron A,intron,1,230,1181,951,951,1,951,100.0,100.0,0.0,False
snapgene,EF_1_alpha_promoter_(3),EF-1α promoter,promoter,1182,snapgene,EF_1_alpha_intron_A_(2),EF-1α intron A,intron,1,52,67,15,204,29,43,100.0,7.352941176470594,0.85,True
snapgene,EF_1_alpha_promoter_(3),EF-1α promoter,promoter,1182,snapgene,EF_1_alpha_intron_A_(5),EF-1α intron A,intron,1,230,1173,943,943,1,943,100.0,100.0,0.0,False
snapgene,EF_1_alpha_promoter_(4),EF-1α promoter,promoter,1179,snapgene,EF_1_alpha_intron_A_(2),EF-1α intron A,intron,1,53,68,15,204,29,43,100.0,7.352941176470594,0.85,True
snapgene,EF_1_alpha_promoter_(4),EF-1α promoter,promoter,1179,snapgene,EF_1_alpha_intron_A,EF-1α intron A,intron,1,231,1170,939,939,1,939,100.0,100.0,0.0,False
snapgene,EF_1_alpha_promoter_(5),EF-1α promoter,promoter,1174,snapgene,EF_1_alpha_intron_A_(2),EF-1α intron A,intron,1,53,68,15,204,29,43,100.0,7.352941176470594,0.85,True
snapgene,EF_1_alpha_promoter_(5),EF-1α promoter,promoter,1174,snapgene,EF_1_alpha_intron_A_(6),EF-1α intron A,intron,1,231,1165,934,934,1,934,100.0,100.0,0.0,False
snapgene,FLP,FLP,CDS,1272,snapgene,2u_ori_(3),2μ ori,rep_origin,1,1092,1272,180,1343,1,180,100.0,13.402829486224874,3.17e-99,True
snapgene,FLPe,FLPe,CDS,1299,snapgene,2u_ori_(3),2μ ori,rep_origin,1,1119,1299,180,1343,1,180,100.0,13.402829486224874,3.24e-99,True
snapgene,FnCas9,FnCas9,CDS,4887,snapgene,cos,cos,misc_feature,-1,3868,3884,16,399,364,349,100.0,4.010025062656638,0.9,True
snapgene,GAL1_promoter,GAL1 promoter,promoter,442,snapgene,UAS,UAS,protein_bind,1,0,118,118,118,1,118,100.0,100.0,1.08e-62,False
snapgene,GAL1_10_promoter,"GAL1,10 promoter",promoter,665,snapgene,UAS,UAS,protein_bind,1,216,334,118,118,1,118,100.0,100.0,1.63e-62,False
snapgene,GAL10_promoter,GAL10 promoter,promoter,331,snapgene,UAS,UAS,protein_bind,1,213,331,118,118,1,118,100.0,100.0,7.97e-63,False
snapgene,GFP_nanobody,GFP nanobody,CDS,342,snapgene,P_element_3'_end,P element 3' end,misc_feature,-1,293,307,14,233,81,68,100.0,6.008583690987123,0.95,True
snapgene,GFP11x7,GFP11x7,CDS,426,snapgene,hGH_poly(A)_signal,hGH poly(A) signal,polyA_signal,1,35,50,15,477,434,448,100.0,3.1446540880503164,0.3,True
snapgene,GIN11M86,GIN11M86,misc_feature,678,snapgene,lef2,lef2,CDS,-1,193,208,15,125,60,46,100.0,12.0,0.49,True
snapgene,GIN11M86,GIN11M86,misc_feature,678,swissprot,P53758,N3830,CDS,-1,438,657,219,252,1,237,73.4,86.90476190476191,3.38e-39,True
snapgene,GP64_signal_sequence,GP64 signal sequence,sig_peptide,60,snapgene,chicken_beta_actin_promoter,chicken β-actin promoter,promoter,1,32,45,13,257,211,223,100.0,5.05836575875486,0.54,True
snapgene,GST,GST,CDS,657,snapgene,copia_promoter,copia promoter,promoter,1,407,427,20,280,78,97,95.0,7.142857142857139,0.12,True
snapgene,GUS,GUS,CDS,2023,snapgene,cat1_intron_(2),cat1 intron,intron,1,15,205,190,190,1,190,100.0,100.0,5.4400000000000005e-105,False
